Code,Name,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2015 Population)",2015 Population,,2020 Population
010000000,Region I (Ilocos Region),Reg,,,,," 5,026,128 ",," 5,301,139 "
012800000,Ilocos Norte,Prov,,,1st,," 593,081 ",," 609,588 "
012801000,Adams,Mun,,,5th,," 1,792 ",," 2,189 "
012801001,Adams (Pob.),Bgy,,,,R," 1,792 ",," 2,189 "
012802000,Bacarra,Mun,,,3rd,," 32,215 ",," 33,496 "
012802001,Bani,Bgy,,,,R, 853 ,," 1,079 "
012802002,Buyon,Bgy,,,,R," 1,596 ",," 1,669 "
012802003,Cabaruan,Bgy,,,,R," 1,413 ",," 1,418 "
012802004,Cabulalaan,Bgy,,,,R, 733 ,, 733
012802005,Cabusligan,Bgy,,,,R," 1,038 ",," 1,170 "
012802006,Cadaratan,Bgy,,,,R," 1,192 ",," 1,212 "
012802007,Calioet-Libong,Bgy,,,,R, 823 ,, 827
012802008,Casilian,Bgy,,,,R, 992 ,," 1,061 "
012802009,Corocor,Bgy,,,,R, 814 ,, 867
012802011,Duripes,Bgy,,,,R," 1,010 ",," 1,036 "
012802012,Ganagan,Bgy,,,,R, 699 ,, 701
012802013,Libtong,Bgy,,,,R," 1,587 ",," 1,620 "
012802014,Macupit,Bgy,,,,R, 625 ,, 647
012802015,Nambaran,Bgy,,,,R, 982 ,," 1,004 "
012802016,Natba,Bgy,,,,R, 530 ,, 560
012802017,Paninaan,Bgy,,,,R, 440 ,, 435
012802018,Pasiocan,Bgy,,,,R," 1,162 ",," 1,209 "
012802019,Pasngal,Bgy,,,,R, 760 ,, 799
012802020,Pipias,Bgy,,,,R," 1,049 ",," 1,047 "
012802021,Pulangi,Bgy,,,,R," 1,082 ",," 1,091 "
012802022,Pungto,Bgy,,,,R, 571 ,, 554
012802024,San Agustin I (Pob.),Bgy,,,,R, 546 ,, 544
012802025,San Agustin II (Pob.),Bgy,,,,R, 274 ,, 281
012802027,San Andres I (Pob.),Bgy,,,,R, 782 ,, 796
012802028,San Andres II (Pob.),Bgy,,,,R, 694 ,, 724
012802030,San Gabriel I (Pob.),Bgy,,,,R, 269 ,, 294
012802031,San Gabriel II (Pob.),Bgy,,,,R, 390 ,, 406
012802033,San Pedro I (Pob.),Bgy,,,,R, 385 ,, 393
012802034,San Pedro II (Pob.),Bgy,,,,R, 597 ,, 585
012802036,San Roque I (Pob.),Bgy,,,,R, 524 ,, 530
012802037,San Roque II (Pob.),Bgy,,,,R, 352 ,, 399
012802039,San Simon I (Pob.),Bgy,,,,R, 626 ,, 637
012802040,San Simon II (Pob.),Bgy,,,,R, 333 ,, 341
012802041,San Vicente (Pob.),Bgy,,,,R, 649 ,, 723
012802042,Sangil,Bgy,,,,R," 1,031 ",," 1,097 "
012802044,Santa Filomena I (Pob.),Bgy,,,,R, 264 ,, 276
012802045,Santa Filomena II (Pob.),Bgy,,,,R, 342 ,, 344
012802046,Santa Rita (Pob.),Bgy,,,,R," 1,104 ",," 1,119 "
012802047,Santo Cristo I (Pob.),Bgy,,,,R, 409 ,, 422
012802048,Santo Cristo II (Pob.),Bgy,,,,R, 420 ,, 459
012802050,Tambidao,Bgy,,,,R, 775 ,, 813
012802051,Teppang,Bgy,,,,R, 643 ,, 706
012802052,Tubburan,Bgy,,,,R, 855 ,, 868
012803000,Badoc,Mun,,,3rd,," 31,616 ",," 32,530 "
012803001,Alay-Nangbabaan,Bgy,Alay 15-B,,,R," 1,079 ",," 1,090 "
012803002,Alogoog,Bgy,,,,R, 936 ,, 974
012803003,Ar-arusip,Bgy,,,,R, 799 ,, 808
012803004,Aring,Bgy,,,,R," 1,351 ",," 1,362 "
012803005,Balbaldez,Bgy,,,,R, 320 ,, 302
012803006,Bato,Bgy,,,,R, 979 ,, 996
012803007,Camanga,Bgy,,,,R," 1,126 ",," 1,213 "
012803008,Canaan (Pob.),Bgy,,,,R, 573 ,, 603
012803009,Caraitan,Bgy,,,,R," 1,370 ",," 1,391 "
012803011,Gabut Norte,Bgy,,,,R," 1,536 ",," 1,680 "
012803012,Gabut Sur,Bgy,,,,R," 1,011 ",, 894
012803013,Garreta (Pob.),Bgy,,,,R," 1,376 ",," 1,383 "
012803016,Labut,Bgy,,,,R, 765 ,, 848
012803017,Lacuben,Bgy,,,,R," 1,422 ",," 1,703 "
012803018,Lubigan,Bgy,,,,R," 1,260 ",," 1,381 "
012803020,Mabusag Norte,Bgy,,,,R," 1,130 ",," 1,125 "
012803021,Mabusag Sur,Bgy,,,,R," 1,133 ",," 1,135 "
012803022,Madupayas,Bgy,,,,R, 861 ,, 848
012803023,Morong,Bgy,,,,R, 854 ,, 892
012803025,Nagrebcan,Bgy,,,,R, 525 ,, 528
012803026,Napu,Bgy,,,,R," 1,488 ",," 1,514 "
012803027,La Virgen Milagrosa,Bgy,Paguetpet,,,R," 1,080 ",," 1,095 "
012803028,Pagsanahan Norte,Bgy,,,,R," 1,180 ",," 1,170 "
012803029,Pagsanahan Sur,Bgy,,,,R," 1,337 ",," 1,412 "
012803030,Paltit,Bgy,,,,R," 1,617 ",," 1,589 "
012803031,Parang,Bgy,,,,R, 427 ,, 438
012803032,Pasuc,Bgy,,,,R, 428 ,, 505
012803034,Santa Cruz Norte,Bgy,,,,R, 958 ,, 916
012803035,Santa Cruz Sur,Bgy,,,,R, 689 ,, 702
012803036,Saud,Bgy,,,,R," 1,244 ",," 1,325 "
012803037,Turod,Bgy,,,,R, 762 ,, 708
012804000,Bangui,Mun,,,4th,," 14,672 ",," 15,019 "
012804001,Abaca,Bgy,,,,U," 1,729 ",," 1,842 "
012804002,Bacsil,Bgy,,,,R, 725 ,, 683
012804003,Banban,Bgy,,,,R, 740 ,, 777
012804004,Baruyen,Bgy,,,,R," 1,541 ",," 1,742 "
012804005,Dadaor,Bgy,,,,R, 426 ,, 405
012804006,Lanao,Bgy,,,,R," 1,958 ",," 2,017 "
012804007,Malasin,Bgy,,,,R," 1,000 ",," 1,028 "
012804008,Manayon,Bgy,,,,R," 1,092 ",, 997
012804009,Masikil,Bgy,,,,R, 629 ,, 649
012804010,Nagbalagan,Bgy,,,,R, 701 ,, 707
012804011,Payac,Bgy,,,,R, 758 ,, 781
012804012,San Lorenzo (Pob.),Bgy,,,,R," 2,176 ",," 2,261 "
012804014,Taguiporo,Bgy,,,,R, 547 ,, 491
012804015,Utol,Bgy,,,,R, 650 ,, 639
012805000,City of Batac,City,,CC,5th,," 55,201 ",," 55,484 "
012805001,Aglipay (Pob.),Bgy,,,,R," 1,412 ",," 1,059 "
012805002,Baay,Bgy,,,,R," 3,075 ",," 3,241 "
012805003,Baligat,Bgy,,,,R," 1,907 ",," 1,923 "
012805004,Bungon,Bgy,,,,R," 1,520 ",," 1,546 "
012805005,Baoa East,Bgy,,,,R, 756 ,, 747
012805006,Baoa West,Bgy,,,,R," 1,218 ",," 1,404 "
012805007,Barani (Pob.),Bgy,,,,R, 659 ,, 636
012805009,Ben-agan (Pob.),Bgy,,,,R, 659 ,, 714
012805010,Bil-loca,Bgy,,,,R," 2,866 ",," 2,780 "
012805011,Biningan,Bgy,,,,R, 445 ,, 468
012805012,Callaguip (Pob.),Bgy,,,,U, 900 ,, 832
012805013,Camandingan,Bgy,,,,R," 1,499 ",," 1,506 "
012805014,Camguidan,Bgy,,,,R, 535 ,, 522
012805015,Cangrunaan (Pob.),Bgy,,,,R, 961 ,, 721
012805016,Capacuan,Bgy,,,,R, 753 ,, 727
012805017,Caunayan (Pob.),Bgy,,,,U," 1,175 ",," 1,105 "
012805018,Valdez Pob.,Bgy,Caoayan,,,U, 945 ,, 808
012805019,Colo,Bgy,,,,R," 1,360 ",," 1,432 "
012805020,Pimentel,Bgy,Cubol,,,R," 1,232 ",," 1,166 "
012805021,Dariwdiw,Bgy,,,,R," 1,883 ",," 2,053 "
012805022,Acosta Pob.,Bgy,Iloilo,,,U," 1,205 ",," 1,058 "
012805023,Ablan Pob.,Bgy, Labucao,,,U, 647 ,, 740
012805024,Lacub (Pob.),Bgy,,,,R, 502 ,, 422
012805025,Mabaleng,Bgy,,,,R," 1,158 ",," 1,162 "
012805026,Magnuang,Bgy,,,,U," 2,145 ",," 2,196 "
012805027,Maipalig,Bgy,,,,R, 566 ,, 456
012805028,Nagbacalan,Bgy,,,,R," 1,109 ",," 1,085 "
012805029,Naguirangan,Bgy,,,,R," 1,276 ",," 1,615 "
012805030,Ricarte Pob.,Bgy,Nalasin,,,U, 818 ,, 765
012805031,Palongpong,Bgy,,,,R," 1,729 ",," 1,867 "
012805032,Palpalicong (Pob.),Bgy,,,,R, 827 ,, 828
012805033,Parangopong,Bgy,,,,R," 1,292 ",," 1,253 "
012805034,Payao,Bgy,,,,R," 1,384 ",," 1,457 "
012805035,Quiling Norte,Bgy,,,,R," 1,330 ",," 1,528 "
012805036,Quiling Sur,Bgy,,,,R," 2,838 ",," 3,267 "
012805037,Quiom,Bgy,,,,R, 970 ,, 884
012805038,Rayuray,Bgy,,,,R, 995 ,," 1,062 "
012805039,San Julian (Pob.),Bgy,,,,R, 543 ,, 465
012805040,San Mateo,Bgy,,,,R," 1,111 ",," 1,135 "
012805041,San Pedro,Bgy,,,,R," 1,038 ",, 898
012805042,Suabit (Pob.),Bgy,,,,U," 1,228 ",," 1,209 "
012805043,Sumader,Bgy,,,,R," 1,349 ",," 1,387 "
012805044,Tabug,Bgy,,,,U," 3,381 ",," 3,355 "
012806000,Burgos,Mun,,,5th,," 9,777 ",," 10,759 "
012806001,Ablan Sarat,Bgy,,,,R," 1,498 ",," 1,518 "
012806002,Agaga,Bgy,,,,R, 484 ,, 609
012806005,Bayog,Bgy,,,,R, 721 ,, 773
012806006,Bobon,Bgy,,,,R," 1,371 ",," 1,482 "
012806007,Buduan,Bgy,Malituek,,,R, 781 ,, 940
012806008,Nagsurot,Bgy,,,,R, 768 ,, 902
012806009,Paayas,Bgy,,,,U, 711 ,, 869
012806010,Pagali,Bgy,,,,R, 655 ,, 776
012806011,Poblacion,Bgy,,,,R," 1,531 ",," 1,468 "
012806013,Saoit,Bgy,,,,R, 648 ,, 739
012806014,Tanap,Bgy,,,,R, 609 ,, 683
012807000,Carasi,Mun,,,5th,," 1,567 ",," 1,607 "
012807001,Angset,Bgy,,,,R, 171 ,, 176
012807003,Barbaqueso (Pob.),Bgy,,,,R, 783 ,, 812
012807004,Virbira,Bgy,,,,R, 613 ,, 619
012808000,Currimao,Mun,,,4th,," 12,184 ",," 12,215 "
012808001,Anggapang Norte,Bgy,,,,R, 279 ,, 319
012808002,Anggapang Sur,Bgy,,,,R, 156 ,, 183
012808003,Bimmanga,Bgy,,,,R, 411 ,, 342
012808004,Cabuusan,Bgy,,,,R, 354 ,, 327
012808005,Comcomloong,Bgy,,,,R, 129 ,, 124
012808006,Gaang,Bgy,,,,R," 1,238 ",," 1,287 "
012808007,Lang-ayan-Baramban,Bgy,,,,R, 574 ,, 531
012808008,Lioes,Bgy,,,,R, 477 ,, 479
012808009,Maglaoi Centro,Bgy,,,,R, 239 ,, 229
012808010,Maglaoi Norte,Bgy,,,,R, 671 ,, 658
012808011,Maglaoi Sur,Bgy,,,,R, 541 ,, 543
012808013,Paguludan-Salindeg,Bgy,,,,R, 319 ,, 296
012808014,Pangil,Bgy,,,,R, 601 ,, 541
012808015,Pias Norte,Bgy,,,,R, 887 ,, 932
012808016,Pias Sur,Bgy,,,,R, 723 ,, 778
012808017,Poblacion I,Bgy,,,,R, 744 ,, 673
012808018,Poblacion II,Bgy,,,,R, 611 ,, 564
012808019,Salugan,Bgy,,,,R, 471 ,, 586
012808020,San Simeon,Bgy,,,,R, 300 ,, 284
012808021,Santa Cruz,Bgy,,,,R, 293 ,, 356
012808022,Tapao-Tigue,Bgy,,,,R, 791 ,, 874
012808023,Torre,Bgy,,,,R, 429 ,, 410
012808024,Victoria,Bgy,,,,R, 946 ,, 899
012809000,Dingras,Mun,,,2nd,," 38,562 ",," 40,127 "
012809001,Albano (Pob.),Bgy,,,,U, 823 ,, 871
012809002,Bacsil,Bgy,,,,R, 837 ,, 878
012809003,Bagut,Bgy,,,,R, 972 ,," 1,062 "
012809004,Parado,Bgy,Bangay,,,R," 1,524 ",," 1,563 "
012809005,Baresbes,Bgy,,,,R," 1,998 ",," 2,036 "
012809006,Barong,Bgy,,,,R," 2,374 ",," 2,468 "
012809007,Bungcag,Bgy,,,,R, 538 ,, 578
012809009,Cali,Bgy,,,,R," 1,319 ",," 1,343 "
012809010,Capasan,Bgy,,,,R, 697 ,, 732
012809011,Dancel (Pob.),Bgy,,,,R, 570 ,, 654
012809012,Foz,Bgy,,,,R, 874 ,, 915
012809013,Guerrero (Pob.),Bgy,,,,R," 1,492 ",," 1,496 "
012809014,Lanas,Bgy,,,,R, 905 ,," 1,062 "
012809015,Lumbad,Bgy,,,,R," 1,023 ",," 1,079 "
012809016,Madamba (Pob.),Bgy,,,,U," 1,984 ",," 1,961 "
012809017,Mandaloque,Bgy,,,,R, 664 ,, 647
012809018,Medina,Bgy,,,,R," 1,290 ",," 1,298 "
012809019,Ver,Bgy,Naglayaan,,,R," 1,175 ",," 1,223 "
012809020,San Marcelino,Bgy,Padong,,,R," 3,710 ",," 4,053 "
012809021,Puruganan (Pob.),Bgy,,,,R, 880 ,, 868
012809022,Peralta (Pob.),Bgy,,,,R," 1,331 ",," 1,340 "
012809023,Root,Bgy,Baldias,,,R, 828 ,, 807
012809024,Sagpatan,Bgy,,,,R, 822 ,, 846
012809025,Saludares,Bgy,,,,R," 1,469 ",," 1,473 "
012809026,San Esteban,Bgy,,,,R, 828 ,, 831
012809027,Espiritu,Bgy,,,,R, 975 ,," 1,030 "
012809028,Sulquiano,Bgy,Sidiran,,,R," 1,458 ",," 1,478 "
012809029,San Francisco,Bgy,Surrate,,,R," 2,154 ",," 2,304 "
012809030,Suyo,Bgy,,,,U," 1,400 ",," 1,404 "
012809031,San Marcos,Bgy,,,,R, 649 ,, 741
012809032,Elizabeth,Bgy,,,,R, 999 ,," 1,086 "
012810000,Dumalneg,Mun,,,5th,," 2,947 ",," 3,087 "
012810001,Cabaritan,Bgy,Dumalneg,,,R," 1,964 ",a/, 448
012810002,San Isidro,Bgy,,,,R, 983 ,," 1,026 "
012810003,Kalaw,Bgy,Dumalneg,,,,-,, 644
012810004,Quibel,Bgy,Dumalneg,,,,-,, 969
012811000,Banna,Mun,Espiritu,,4th,," 19,438 ",," 19,297 "
012811001,Balioeg,Bgy,,,,R, 877 ,, 844
012811002,Bangsar,Bgy,,,,R, 901 ,, 874
012811003,Barbarangay,Bgy,,,,R, 782 ,, 819
012811004,Bomitog,Bgy,,,,R," 1,314 ",," 1,276 "
012811005,Bugasi,Bgy,,,,R, 938 ,, 945
012811006,Caestebanan,Bgy,,,,R," 1,063 ",, 836
012811008,Caribquib,Bgy,,,,R, 980 ,," 1,055 "
012811009,Catagtaguen,Bgy,,,,R," 1,270 ",," 1,318 "
012811011,Crispina,Bgy,,,,R, 984 ,, 955
012811012,Hilario (Pob.),Bgy,,,,R, 993 ,, 951
012811013,Imelda,Bgy,,,,R, 610 ,, 613
012811014,Lorenzo (Pob.),Bgy,,,,R, 794 ,, 746
012811015,Macayepyep,Bgy,,,,R," 1,180 ",," 1,054 "
012811016,Marcos (Pob.),Bgy,,,,R, 975 ,," 1,048 "
012811017,Nagpatayan,Bgy,,,,R, 912 ,, 902
012811018,Valdez,Bgy,,,,R, 969 ,," 1,061 "
012811019,Sinamar,Bgy,,,,R," 1,198 ",," 1,205 "
012811020,Tabtabagan,Bgy,,,,R," 1,149 ",," 1,148 "
012811021,Valenciano (Pob.),Bgy,,,,R, 725 ,, 694
012811022,Binacag,Bgy,,,,R, 824 ,, 953
012812000,City of Laoag (Capital),City,,CC,3rd,," 111,125 ",," 111,651 "
012812001,"Bgy. No. 42, Apaya",Bgy,,,,R, 916 ,, 953
012812002,"Bgy. No. 36, Araniw",Bgy,,,,R, 873 ,, 958
012812003,"Bgy. No. 56-A, Bacsil North",Bgy,,,,R, 951 ,, 893
012812004,"Bgy. No. 56-B, Bacsil South",Bgy,,,,R," 1,349 ",," 1,346 "
012812005,"Bgy. No. 41, Balacad",Bgy,,,,R," 1,422 ",," 1,595 "
012812006,"Bgy. No. 40, Balatong",Bgy,,,,R," 2,659 ",," 2,674 "
012812007,"Bgy. No. 55-A, Barit-Pandan",Bgy,,,,U," 2,233 ",," 2,311 "
012812008,"Bgy. No. 47, Bengcag",Bgy,,,,U," 1,874 ",," 1,916 "
012812009,"Bgy. No. 50, Buttong",Bgy,,,,U," 3,044 ",," 2,764 "
012812010,"Bgy. No. 60-A, Caaoacan",Bgy,,,,R," 1,430 ",," 1,331 "
012812011,"Bry. No. 48-A, Cabungaan North",Bgy,,,,R," 1,788 ",," 2,058 "
012812012,"Bgy. No. 48-B, Cabungaan South",Bgy,,,,R," 1,239 ",," 1,296 "
012812013,"Bgy. No. 37, Calayab",Bgy,,,,U," 2,081 ",," 2,103 "
012812014,"Bgy. No. 54-B, Camangaan",Bgy,,,,R," 1,005 ",," 1,006 "
012812015,"Bgy. No. 58, Casili",Bgy,,,,R, 964 ,, 993
012812016,"Bgy. No. 61, Cataban",Bgy,,,,R, 766 ,, 766
012812017,"Bgy. No. 43, Cavit",Bgy,,,,R," 1,086 ",," 1,140 "
012812019,"Bgy. No. 49-A, Darayday",Bgy,,,,R, 976 ,, 960
012812020,"Bgy. No. 59-B, Dibua North",Bgy,,,,R, 865 ,, 881
012812021,"Bgy. No. 59-A, Dibua South",Bgy,,,,R," 1,100 ",," 1,105 "
012812022,"Bgy. No. 34-B, Gabu Norte East",Bgy,,,,R," 1,230 ",," 1,321 "
012812023,"Bgy. No. 34-A, Gabu Norte West",Bgy,,,,R, 777 ,, 581
012812024,"Bgy. No. 35, Gabu Sur",Bgy,,,,R," 1,778 ",," 1,815 "
012812026,Bgy. No. 32-C La Paz East,Bgy,,,,R," 1,693 ",," 1,499 "
012812027,"Bgy. No. 33-B, La Paz Proper",Bgy,,,,R," 1,052 ",," 1,127 "
012812028,"Bgy. No. 32-B, La Paz West",Bgy,,,,R," 1,065 ",," 1,099 "
012812029,"Bgy. No. 54-A, Lagui-Sail",Bgy,,,,R," 2,372 ",," 2,367 "
012812030,"Bgy. No. 32-A, La Paz East",Bgy,,,,R," 1,433 ",," 1,395 "
012812031,"Bgy. No. 33-A, La Paz Proper",Bgy,,,,R," 1,113 ",," 1,195 "
012812032,"Bgy. No. 52-B, Lataag",Bgy,,,,R, 876 ,, 873
012812033,"Bgy. No. 60-B, Madiladig",Bgy,,,,R," 1,469 ",," 1,653 "
012812034,"Bgy. No. 38-A, Mangato East",Bgy,,,,R," 1,040 ",," 1,174 "
012812035,"Bgy. No. 38-B, Mangato West",Bgy,,,,R," 1,188 ",," 1,226 "
012812036,"Bgy. No. 62-A, Navotas North",Bgy,,,,R, 796 ,, 854
012812037,"Bgy. No. 62-B, Navotas South",Bgy,,,,R, 912 ,," 1,021 "
012812038,"Bgy. No. 46, Nalbo",Bgy,,,,R," 2,401 ",," 2,484 "
012812039,"Bgy. No. 51-A, Nangalisan East",Bgy,,,,U," 1,510 ",," 1,713 "
012812040,"Bgy. No. 51-B, Nangalisan West",Bgy,,,,U, 814 ,, 785
012812041,"Bgy. No. 24, Nstra. Sra. De Consolacion (Pob.)",Bgy,,,,R," 1,054 ",," 1,074 "
012812042,"Bgy. No. 7-A, Nstra. Sra. De Natividad (Pob.)",Bgy,,,,U," 1,131 ",, 913
012812043,"Bgy. No. 7-B, Nstra. Sra. De Natividad (Pob.)",Bgy,,,,R, 968 ,, 827
012812044,"Bgy. No. 27, Nstra. Sra. De Soledad (Pob.)",Bgy,,,,U," 1,618 ",," 1,660 "
012812045,"Bgy. No. 13, Nstra. Sra. De Visitacion (Pob.)",Bgy,,,,U," 1,443 ",," 1,460 "
012812046,"Bgy. No. 3, Nstra. Sra. Del Rosario (Pob.)",Bgy,,,,U," 1,189 ",," 1,011 "
012812047,"Bgy. No. 57, Pila",Bgy,,,,R," 1,866 ",," 1,960 "
012812048,"Bgy. No. 49-B, Raraburan",Bgy,,,,R," 1,658 ",," 1,631 "
012812049,"Bgy. No. 53, Rioeng",Bgy,,,,U," 1,616 ",," 1,678 "
012812050,"Bgy. No. 55-B, Salet-Bulangon",Bgy,,,,U," 2,521 ",," 2,626 "
012812053,"Bgy. No. 6, San Agustin (Pob.)",Bgy,,,,R," 1,371 ",," 1,267 "
012812054,"Bgy. No. 22, San Andres (Pob.)",Bgy,,,,U," 1,065 ",," 1,063 "
012812055,"Bgy. No. 28, San Bernardo (Pob.)",Bgy,,,,R," 1,758 ",," 1,549 "
012812056,"Bgy. No. 17, San Francisco (Pob.)",Bgy,,,,U, 708 ,, 719
012812057,"Bgy. No. 4, San Guillermo (Pob.)",Bgy,,,,U," 1,256 ",," 1,190 "
012812058,"Bgy. No. 15, San Guillermo (Pob.)",Bgy,,,,U," 1,098 ",," 1,039 "
012812059,"Bgy. No. 12, San Isidro (Pob.)",Bgy,,,,U," 1,607 ",," 1,890 "
012812060,"Bgy. No. 16, San Jacinto (Pob.)",Bgy,,,,U," 1,060 ",," 1,026 "
012812061,"Bgy. No. 10, San Jose (Pob.)",Bgy,,,,U," 1,005 ",, 970
012812062,"Bgy. No. 1, San Lorenzo (Pob.)",Bgy,,,,U," 4,733 ",," 5,458 "
012812063,"Bgy. No. 26, San Marcelino (Pob.)",Bgy,,,,R, 963 ,, 856
012812064,"Bgy. No. 52-A, San Mateo",Bgy,,,,R, 629 ,, 582
012812065,"Bgy. No. 23, San Matias (Pob.)",Bgy,,,,R," 2,857 ",," 3,014 "
012812066,"Bgy. No. 20, San Miguel (Pob.)",Bgy,,,,U," 1,029 ",, 955
012812067,"Bgy. No. 21, San Pedro (Pob.)",Bgy,,,,R," 1,349 ",," 1,262 "
012812068,"Bgy. No. 5, San Pedro (Pob.)",Bgy,,,,U," 1,723 ",," 1,383 "
012812069,"Bry. No. 18, San Quirino (Pob.)",Bgy,,,,R, 723 ,, 732
012812070,"Bgy. No. 8, San Vicente (Pob.)",Bgy,,,,U," 1,042 ",, 878
012812071,"Bgy. No. 9, Santa Angela (Pob.)",Bgy,,,,U, 802 ,, 598
012812072,"Bgy. No. 11, Santa Balbina (Pob.)",Bgy,,,,U," 1,365 ",, 881
012812073,"Bgy. No. 25, Santa Cayetana (Pob.)",Bgy,,,,R," 1,201 ",," 1,144 "
012812074,"Bgy. No. 2, Santa Joaquina (Pob.)",Bgy,,,,U," 2,568 ",," 2,501 "
012812075,"Bgy. No. 19, Santa Marcela (Pob.)",Bgy,,,,U," 1,144 ",, 885
012812076,"Bgy. No. 30-B, Santa Maria",Bgy,,,,R," 1,516 ",," 1,571 "
012812077,"Bgy. No. 39, Santa Rosa",Bgy,,,,R, 789 ,, 792
012812078,"Bgy. No. 14, Santo Tomas (Pob.)",Bgy,,,,U," 1,147 ",," 1,041 "
012812079,"Bgy. No. 29, Santo Tomas (Pob.)",Bgy,,,,R," 1,330 ",," 1,458 "
012812080,"Bgy. No. 30-A, Suyo",Bgy,,,,U, 762 ,, 708
012812081,"Bgy. No. 31, Talingaan",Bgy,,,,R," 1,616 ",," 1,626 "
012812082,"Bgy. No. 45, Tangid",Bgy,,,,R, 997 ,," 1,061 "
012812083,"Bgy. No. 55-C, Vira",Bgy,,,,R," 1,377 ",," 1,460 "
012812084,"Bgy. No. 44, Zamboanga",Bgy,,,,R," 1,331 ",," 2,021 "
012813000,Marcos,Mun,,,4th,," 17,777 ",," 18,010 "
012813001,Pacifico,Bgy,Agunit,,,R," 1,755 ",," 1,843 "
012813003,Imelda,Bgy,Capariaan,,,R, 865 ,, 874
012813004,Elizabeth,Bgy,Culao,,,R," 1,288 ",," 1,307 "
012813005,Daquioag,Bgy,,,,R," 1,726 ",," 1,768 "
012813006,Escoda,Bgy,,,,R," 2,068 ",," 2,064 "
012813007,Ferdinand,Bgy,,,,U, 945 ,, 965
012813008,Fortuna,Bgy,,,,R," 1,127 ",," 1,111 "
012813009,Lydia (Pob.),Bgy,,,,R," 2,270 ",," 2,264 "
012813010,Mabuti,Bgy,,,,R," 1,122 ",," 1,121 "
012813011,Valdez,Bgy,Biding,,,R," 1,096 ",," 1,083 "
012813012,Tabucbuc,Bgy,Ragas,,,R," 1,716 ",," 1,692 "
012813013,Santiago,Bgy,,,,R," 1,410 ",," 1,510 "
012813014,Cacafean,Bgy,,,,R, 389 ,, 408
012814000,Nueva Era,Mun,,,3rd,," 9,506 ",," 11,968 "
012814001,Acnam,Bgy,,,,R, 609 ,, 767
012814002,Barangobong,Bgy,,,,R, 370 ,, 443
012814003,Barikir,Bgy,,,,R, 527 ,, 681
012814004,Bugayong,Bgy,,,,R, 723 ,, 940
012814005,Cabittauran,Bgy,,,,R," 1,000 ",," 1,075 "
012814006,Caray,Bgy,,,,R, 763 ,, 824
012814007,Garnaden,Bgy,,,,R, 616 ,, 711
012814008,Naguillan,Bgy,Pagpag-ong,,,R, 888 ,," 1,043 "
012814009,Poblacion,Bgy,,,,R," 2,196 ",," 3,206 "
012814010,Santo Ni�o,Bgy,,,,R, 962 ,," 1,184 "
012814011,Uguis,Bgy,,,,R, 852 ,," 1,094 "
012815000,Pagudpud,Mun,,,4th,," 23,770 ",," 25,098 "
012815001,Aggasi,Bgy,,,,R, 667 ,, 725
012815003,Baduang,Bgy,,,,R," 1,103 ",," 1,131 "
012815004,Balaoi,Bgy,,,,U," 1,934 ",," 1,980 "
012815005,Burayoc,Bgy,,,,R," 1,509 ",," 1,461 "
012815006,Caunayan,Bgy,,,,R," 1,382 ",," 1,529 "
012815007,Dampig,Bgy,,,,R," 1,015 ",," 1,025 "
012815008,Ligaya,Bgy,,,,R, 997 ,," 1,057 "
012815010,Pancian,Bgy,,,,R," 2,205 ",," 2,398 "
012815011,Pasaleng,Bgy,,,,R," 1,727 ",," 1,793 "
012815012,Poblacion 1,Bgy,,,,R," 2,536 ",," 2,669 "
012815013,Poblacion 2,Bgy,,,,R," 2,942 ",," 3,258 "
012815014,Saguigui,Bgy,,,,R, 872 ,, 903
012815015,Saud,Bgy,,,,R," 1,551 ",," 1,467 "
012815016,Subec,Bgy,,,,R," 1,557 ",," 1,832 "
012815017,Tarrag,Bgy,,,,R, 934 ,, 940
012815018,Caparispisan,Bgy,,,,R, 839 ,, 930
012816000,Paoay,Mun,,,4th,," 24,866 ",," 25,001 "
012816001,Bacsil,Bgy,,,,R, 665 ,, 703
012816002,Cabagoan,Bgy,,,,R, 547 ,, 453
012816003,Cabangaran,Bgy,,,,R, 407 ,, 375
012816004,Callaguip,Bgy,,,,R," 1,970 ",," 2,019 "
012816005,Cayubog,Bgy,,,,R, 508 ,, 590
012816006,Dolores,Bgy,,,,U, 514 ,, 419
012816007,Laoa,Bgy,,,,R, 344 ,, 355
012816008,Masintoc,Bgy,,,,R, 631 ,, 654
012816009,Monte,Bgy,,,,R, 693 ,, 737
012816010,Mumulaan,Bgy,,,,R, 768 ,, 873
012816011,Nagbacalan,Bgy,,,,R," 3,008 ",," 3,194 "
012816012,Nalasin,Bgy,,,,R," 1,286 ",," 1,378 "
012816013,Nanguyudan,Bgy,,,,R, 669 ,, 602
012816014,Oaig-Upay-Abulao,Bgy,,,,R, 641 ,, 744
012816015,Pambaran,Bgy,,,,R, 237 ,, 189
012816016,Pannaratan (Pob.),Bgy,,,,R, 236 ,, 241
012816017,Paratong,Bgy,,,,R," 1,118 ",," 1,115 "
012816018,Pasil,Bgy,,,,R," 1,031 ",," 1,039 "
012816019,Salbang (Pob.),Bgy,,,,U, 689 ,, 714
012816020,San Agustin,Bgy,,,,R," 1,008 ",," 1,029 "
012816021,San Blas (Pob.),Bgy,,,,R, 249 ,, 234
